Modified Name,Proteins,Carbs,Fats,Fiber,Item Details
"Aaj Specialli Macaroni, Haldiram's",10.3 g,82.0 g,1.1 g,0.0 g,105.0 g - 379 Cal
Bajar Aamti,7.7 g,22.0 g,8.7 g,5.4 g,150.0 g - 196 Cal
Aam Ras Fajeta,2.6 g,12.2 g,6.2 g,2.0 g,150.0 g - 117 Cal
Uppad Pachir Aajadina,1.2 g,17.1 g,3.3 g,1.2 g,100.0 g - 95 Cal
Aam ras Fajitha,2.6 g,12.2 g,6.2 g,2.0 g,150.0 g - 117 Cal
Gajar Aam Juice,1.4 g,27.3 g,0.6 g,5.8 g,250.0 ml - 120 Cal
Aaku Kura,0.2 g,0.3 g,0.1 g,0.3 g,10.0 g - 3 Cal
Aam,2.0 g,56.8 g,1.4 g,6.7 g,336.0 g - 249 Cal
Aam Dal,6.1 g,19.7 g,2.6 g,3.2 g,150.0 g - 124 Cal
Aar Mach,4.8 g,0.0 g,0.7 g,0.0 g,1.00 oz - 25 Cal
Aash-e Sholeh Ghalamkar,20.3 g,27.2 g,22.0 g,5.7 g,250.0 g - 385 Cal
Aashirvaad Select Atta,0.1 g,0.8 g,0.0 g,0.1 g,1.0 g - 4 Cal
"Aashirvaad Aloo Paratha, ITC",5.4 g,32.5 g,8.7 g,0.0 g,100.0 g - 230 Cal
Aata Gol Gappe,0.3 g,3.0 g,1.4 g,0.2 g,10.0 g - 25 Cal
Aatu Kaal Soup,13.6 g,2.5 g,3.8 g,0.6 g,150.0 g - 101 Cal
Aate ka Kheech,1.7 g,9.7 g,3.3 g,1.6 g,100.0 g - 76 Cal
Aate ki Mathri,1.8 g,10.0 g,6.1 g,1.6 g,25.0 g - 101 Cal
Aalukee,3.1 g,22.0 g,0.1 g,4.3 g,104.0 g - 101 Cal
Aaku Pappu,9.5 g,24.4 g,6.5 g,4.0 g,150.0 g - 194 Cal
Aaku Pakodi,3.7 g,17.0 g,7.5 g,1.9 g,78.0 g - 152 Cal
Aaku Kura Pappu,5.5 g,15.3 g,3.5 g,3.0 g,150.0 g - 114 Cal
Aaviri Kudumu with Oil,2.7 g,6.8 g,1.2 g,1.4 g,25.0 g - 49 Cal
Aavakaya (Hot Mango Pickle),0.5 g,2.0 g,2.3 g,0.9 g,15.0 g - 29 Cal
Aavaaram Moringa Rice Mix,0.6 g,1.5 g,0.1 g,0.4 g,3.0 g - 10 Cal
"Aavaaram Moringa Rice Mix, SRG Organic Foods",0.6 g,1.5 g,0.1 g,0.4 g,3.0 g - 10 Cal
"Paw Paw, Raw with skin",0.0 g,0.2 g,0.0 g,0.0 g,1.0 g - 0 Cal
Alwar ka Mawa,5.6 g,13.9 g,7.1 g,0.1 g,50.0 g - 139 Cal
Rawas Tawa Fry,23.4 g,8.1 g,10.0 g,2.5 g,125.0 g - 211 Cal
Aam Mawa Burfi,2.7 g,20.9 g,4.4 g,2.9 g,50.0 g - 134 Cal
"Fish, Maw, Dried, Raw",18.2 g,1.3 g,0.2 g,0.0 g,1.00 oz - 79 Cal
Raw Banana Tawa Fry,1.4 g,21.4 g,6.3 g,2.7 g,100.0 g - 139 Cal
"Black Garlic, Aaswad",0.3 g,1.0 g,0.0 g,0.0 g,2.8 g - 5 Cal
Sup Bayam Ayam,7.7 g,7.5 g,4.2 g,3.7 g,250.0 g - 98 Cal
Sup Ayam Bayam,7.7 g,7.5 g,4.2 g,3.7 g,250.0 g - 98 Cal
Cah Bayam Ayam,24.7 g,3.3 g,5.8 g,1.7 g,166.0 g - 164 Cal
Aalyachi Wadi,0.2 g,12.4 g,0.4 g,0.4 g,20.0 g - 52 Cal
Ayam Pedas Ayam Gaya Brunei,35.3 g,8.9 g,9.9 g,2.1 g,250.0 g - 259 Cal
Tumis Bayam Ayam,24.7 g,3.3 g,5.8 g,1.7 g,166.0 g - 164 Cal
Oseng Bayam Ayam,24.7 g,3.3 g,5.8 g,1.7 g,166.0 g - 164 Cal
"Dink Ladoo, Aazol",0.8 g,19.8 g,3.0 g,0.0 g,25.0 g - 109 Cal
"Mahua Ladoo, Aazol",3.9 g,15.6 g,3.0 g,0.0 g,25.0 g - 105 Cal
Vazha Pazham,0.6 g,12.8 g,0.2 g,0.9 g,47.0 g - 55 Cal
"Khobra Kaakvi Chikki, Aazol",0.8 g,21.4 g,1.5 g,0.0 g,25.0 g - 102 Cal
Maaza Aam Panna,0.0 g,35.8 g,0.0 g,0.0 g,250.0 ml - 143 Cal
Vazha Pazham Ada,1.6 g,26.7 g,2.0 g,1.3 g,50.0 g - 131 Cal
"Pure Gharwala A2 Desi Cow Ghee, Aazol",0.0 g,0.0 g,3.1 g,0.0 g,3.1 g - 28 Cal
Abalone,0.2 g,0.1 g,0.0 g,0.0 g,1.0 g - 1 Cal
Abacate,5.9 g,3.5 g,27.9 g,13.5 g,201.0 g - 290 Cal
Abacaxi,3.6 g,97.7 g,0.9 g,25.4 g,905.0 g - 416 Cal
Abaichisheng,0.2 g,0.4 g,0.0 g,0.0 g,5.5 g - 2 Cal
Abalone Sushi,4.9 g,12.0 g,0.2 g,0.0 g,60.0 g - 73 Cal
Abalone Sauce,0.1 g,1.1 g,0.0 g,0.2 g,4.0 g - 5 Cal
Abalone Yusheng,2.5 g,10.7 g,6.7 g,1.6 g,100.0 g - 109 Cal
Abalone Porridge,6.2 g,17.2 g,1.9 g,0.7 g,250.0 g - 112 Cal
ABB Pure Pro 50,3.2 g,0.5 g,0.3 g,0.1 g,1.00 oz - 16 Cal
Abb Pure Pro Whey protein,16.2 g,7.3 g,2.0 g,0.0 g,1.00 oz - 113 Cal
ABB pure pro 50 (protein shake),50.0 g,7.0 g,1.0 g,1.0 g,420.0 g - 260 Cal
Abbrony,16.2 g,3.3 g,0.7 g,0.0 g,112.0 g - 84 Cal
Abbzorb BCAA 2:1:1,0.0 g,0.6 g,0.0 g,0.0 g,8.0 g - 2 Cal
"Prosure, Abbott",3.2 g,9.7 g,1.2 g,0.5 g,15.0 g - 60 Cal
"Glucerna SR, Abbott",5.7 g,15.3 g,4.1 g,1.0 g,1.00 oz - 116 Cal
"Pediasure, Abbott",0.0 g,0.1 g,0.1 g,0.0 g,1.0 g - 1 Cal
ABC,0.0 g,0.0 g,0.0 g,0.0 g,1.0 g - 0 Cal
ABC Soup,10.7 g,11.0 g,1.4 g,1.8 g,250.0 g - 101 Cal
Abc Buah,1.2 g,30.5 g,0.9 g,0.1 g,130.0 g - 132 Cal
ABC Juice,1.7 g,17.8 g,0.4 g,6.6 g,250.0 ml - 81 Cal
ABC Salad,1.6 g,17.9 g,2.9 g,5.9 g,166.0 g - 104 Cal
ABC Congee,5.9 g,20.1 g,7.2 g,1.2 g,250.0 g - 170 Cal
ABC Butter,2.3 g,1.8 g,6.9 g,0.9 g,12.0 g - 76 Cal
ABC Smoothie,1.0 g,19.2 g,0.5 g,5.0 g,250.0 ml - 85 Cal
"Bio Abobora Jam, No Added Sugar, Prisca",0.0 g,3.3 g,0.0 g,0.0 g,6.7 g - 14 Cal
Crab and Abalone Soup,18.5 g,10.8 g,4.2 g,1.0 g,350.0 g - 159 Cal
Abuk Abuk,0.4 g,14.5 g,2.4 g,0.9 g,37.0 g - 81 Cal
Abalone and Fish Maw Soup,24.2 g,6.8 g,4.3 g,0.7 g,250.0 g - 165 Cal
"Keropok Sira Berlada, MD Noor Abdul Aziz",5.8 g,50.3 g,21.0 g,0.0 g,80.0 g - 413 Cal
Kuih Abuk Abuk,0.4 g,14.5 g,2.4 g,0.9 g,37.0 g - 81 Cal
Chilli and Garlic Abalone,18.8 g,9.9 g,18.3 g,1.0 g,166.0 g - 284 Cal
Arepa de Avena,2.3 g,18.4 g,1.2 g,2.1 g,60.0 g - 92 Cal
"Sugar Less Peanut Butter, ABEE'S",1.3 g,2.0 g,2.7 g,0.3 g,5.3 g - 28 Cal
"Organic Semi-Skimmed Milk, Abel & Cole",8.8 g,11.8 g,4.3 g,0.0 g,250.0 ml - 115 Cal
"Organic Milk, Semi-Skimmed, Abel & Cole",8.8 g,11.8 g,4.3 g,0.0 g,250.0 ml - 115 Cal
"Minuman Buah, Apel, ABC",0.0 g,29.0 g,0.0 g,0.0 g,250.0 ml - 120 Cal
"Organic Semi-Skimmed Milk, Abel and Cole",8.8 g,11.8 g,4.3 g,0.0 g,250.0 ml - 115 Cal
"Organic Milk, Semi-Skimmed, Abel and Cole",8.8 g,11.8 g,4.3 g,0.0 g,250.0 ml - 115 Cal
Arem-Arem,5.9 g,22.0 g,9.4 g,1.1 g,100.0 g - 192 Cal
Abon,1.6 g,1.6 g,1.2 g,0.0 g,4.6 g - 23 Cal
Sup ABC,10.7 g,11.0 g,1.4 g,1.8 g,250.0 g - 101 Cal
